,Date,User,Tweet,company,Stock_status
0,2022-06-14 09:17:08+00:00,tradingqna,"The rights issue of Davangere Sugar Company opens for subscription on 16th June 2022. Here's all you need to know👇
https://t.co/sC8C13RUjb",davangere sugar company,1
1,2022-07-09 09:49:07+00:00,santhos89105482,"@aswathiguna @mrpandya007 Hi Ashwathi ,can yu tell on India bulls hous nd Xchanging solutions",xchanging solutions,1
2,2022-07-07 13:10:22+00:00,prasim_swaroop,@Atulsingh_asan Asking u sir 10th time. Please reply.  How do u see xchanging solutions from here. Should hold or sell in huge loss?,xchanging solutions,1
3,2022-06-30 14:13:54+00:00,Muhamma43728664,@scout_stock Xchanging solutions,xchanging solutions,1
4,2022-06-28 05:05:09+00:00,rankajrankaj,Xchanging Solutions Limited - Closure of trading window https://t.co/EkHA5lyPfO,xchanging solutions,1
5,2022-06-27 12:02:18+00:00,im_prashanth_,"Xchanging Solutions 
@kuttrapali26 ma'am 
Af CMP???",xchanging solutions,1
6,2022-06-29 06:34:07+00:00,rankajrankaj,BGR Energy Systems Limited - Closure of trading window https://t.co/jv55qS4gNC,bgr energy systems,1
7,2022-07-11 21:09:38+00:00,jezaki999,11. Thomas. He Was stabbed with a spear in India during one of his missionary trips to establish the church in the Subcontinent.,aki india,1
8,2022-07-11 14:25:41+00:00,yaeixi,@demonyong_nini im from india !! :D,aki india,1
9,2022-07-11 14:13:53+00:00,parlegreg,@kingosunens it's actually monsoon in India rn,aki india,1
10,2022-07-11 03:48:39+00:00,akiimkn,"@kkimdokjaa And I’m from india so I’ve had over 25 mosquito bites at once, multiple times in my life",aki india,1
11,2022-07-10 19:25:49+00:00,akiimkn,@kkimdokjaa Traditional southern india what can I say 🤷🏽‍♂️,aki india,1
12,2022-07-10 17:20:16+00:00,aki_omura,"@MJ_007Club @imVkohli He's in some form of psychological rut, just observe his body language. There's no FIRE in him..BUT tht liability is costing India, he's taken the place of HOODA who's in great form, and also many other youngsters who are eager to come in and play.. yeh bas lagaa hai.",aki india,1
13,2022-07-10 16:47:16+00:00,AkiG3194,@BenDJ91 Eng can't match India in t20 joker 🤡,aki india,1
14,2022-07-10 11:07:50+00:00,floatingberri,@thatsroyal_od exactly them mfers dont even know countries like india and Bangladesh r inside asia so why r they fking with a majority poc fandom 💀💀,aki india,1
15,2022-07-09 20:59:33+00:00,aki26612,"#Vivo ,#Xiomi and #Huawei should be ban from India.
#banchinaproduct",aki india,1
16,2022-07-09 16:50:06+00:00,10xshubhambapna,"With a market capitalization of Rs. 37.22 crore, Aki India Ltd. is a small-cap company that operates in the Consumer Discretionary Goods &amp; Services (CDGS) industry.

https://t.co/7d7XChG6tT https://t.co/VVJqSpMhoW",aki india,1
17,2022-07-09 14:16:26+00:00,Aki4167466,@Heat2Comfort @easterncomd @SIDMIndia @FollowCII @adgpi @sastra_india @IKP_SciencePark @parisodhana @India_iDEX Congratulations @parisodhana team and sathya,aki india,1
18,2022-07-09 09:20:01+00:00,MarketUpdates6,AKI India Ltd - 542020 - Intimation Of Record Date For Issue Of Bonus Equity Shares. Full Details : https://t.co/CheMTLJTGO,aki india,1
19,2022-07-08 09:40:53+00:00,AkiMittal,According to Amazon customer service it’s user having a lot money to putting the order again and again without getting refund on time. If you try to put your stand to them they behave arrogant. According to contract act of India 1872 if you sell the goods on false promise then,aki india,1
20,2022-07-07 12:27:12+00:00,STEMLearning_IN,"#stemlearning's Mini #science Centre exhibits are being used by AKI School, Ghatkopar, #mumbai with the support of #Otis as part of their Corporate Social Responsibility in India (#CSR).
https://t.co/UDADBWFHEr

#teachers #study #elearning #activies #principal  #minisciencecenter https://t.co/1E0yLkPnfX",aki india,1
21,2022-07-06 10:32:31+00:00,TheRealBatmanHm,"@SozGraceChurch Bro, Can you tell me when is it out in India? Multiple sources quoting multiple dates.",aki india,1
22,2022-07-06 09:18:05+00:00,Nayak_aki,"@sambitswaraj @narendramodi @AmitShah Well done on 370, but there are 370 other issues which are pending most notably jobs and economy please talk about that as well sometimes @JPNadda India's youth needs much better than this r per capita is 2200$ while China has reached 14500$ Why cant v grow faster&amp; more equally",aki india,1
23,2022-07-05 12:43:30+00:00,CEOofAki,@V2pov he changed the flag in his dn yesterday it was india,aki india,1
24,2022-07-05 06:52:07+00:00,AnkushAki,"@BoseService I own TWS Soundsport the battery drains quickly. When called service centre Hyderabad, 500084, India. I was told that it could be repaired only in warranty and outside I have to exchange with 20% discount.
How stupid is this repair policy. #Shame #NeverbuyBoseProduct",aki india,1
25,2022-07-04 23:08:36+00:00,iaakashpandey,All the States are part of INDIA together we are the Republic of INDIA.,aki india,1
26,2022-07-04 18:01:06+00:00,akiimkn,MY MOM IS COMING HOME FROM INDIA TODAY WOO!! That means snacks and sweets for days 😎😎,aki india,1
27,2022-07-04 18:00:02+00:00,akiimkn,"@YourLocalBeanOS Mhm completely agree! My own family is diverse. My cousin is pale, I am medium, and my sister is dark. We are all from Tamil Nadu as well which is the most southern state of India. It would be great to see these diverse skin tones reflected in the region too.",aki india,1
28,2022-07-04 14:57:01+00:00,SangannaAkash,I want INDIA to lose this match,aki india,1
29,2022-07-04 13:08:24+00:00,Chintam72147545,"@AamAadmiParty @ArvindKejriwal Abe gathe , if u give free electricity to panjab or Delhi , u should give Indian solar panel to each house hold , lone karo Ghi pieo , how much lone u deposit in this year , ek kam kor odisha me free me aki ak jila ko do only India made solar panel, not your father China made",aki india,1
30,2022-07-03 16:49:43+00:00,akiimkn,"@faintlamps @honeykyeomie That makes sense! I’ve never been there, but I’d like to go visit some time :) I live in the US now, but I was born in Chennai, so my heart is still in India!",aki india,1
31,2022-07-03 16:35:28+00:00,akiimkn,"@honeykyeomie @faintlamps Mhm ofc! I’m from Tamil Nadu which is p dusty, and the only tropical place in India I’ve visited is Kerala which is why it came to mind. I have to say I’m very happy with the scenery itself so far :)",aki india,1
32,2022-07-03 04:58:00+00:00,aki_re_su,"@Bajwa_Hate_Acc @Ammar_AliKhan B-b-but the world Bank and IMF, the banks/organisations you beg money from released papers that India has eradicated extreme poverty. While Pakistan begs for loans to repay old loans. https://t.co/NLNNAk25IZ",aki india,1
33,2022-07-03 03:44:20+00:00,aki_re_su,@Haxhaxhin @lachii97 @this_my_handle @KhadijaBbaloch What reality that Pakistan has lesser toilets than India? Yeah it must hit you real hard🤣 https://t.co/6BPVGa13EU,aki india,1
34,2022-07-03 02:58:09+00:00,AkkiAgnihotri3,@RahulGandhi Congress ki wjh se to India ke ye haal the,aki india,1
35,2022-07-02 20:58:05+00:00,harbir29,@marilynsboii OMG RATTY BIRTHDAY??? HAPPY BIRTHDAY AKI FAD I HOPE YOU HAVE THE BEST DAY AND INDIA GATEOLA PURRRR,aki india,1
